team1,team2,toss_winner,toss_loser,toss_winner_decision,toss_loser_decision,match_winner,venue,weather,id
Mumbai Indians,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,Bat,Field,Kings XI Punjab,Punjab Cricket Association Stadium,Dry,159
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,Field,Bat,Royal Challengers Bangalore,M Chinnaswamy Stadium,Humid,160
Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,Bat,Field,Kings XI Punjab,Feroz Shah Kotla,Dry,161
Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Mumbai Indians,Field,Bat,Mumbai Indians,Sawai Mansingh Stadium,Dry,162
Mumbai Indians,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,Bat,Field,Mumbai Indians,Brabourne Stadium,Dry,163
Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Bat,Field,Chennai Super Kings,MA Chidambaram Stadium,Dry,164
Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,Bat,Field,Royal Challengers Bangalore,Sawai Mansingh Stadium,Dry,165
Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,Bat,Field,Delhi Daredevils,MA Chidambaram Stadium,Dry,166
Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Mumbai Indians,Field,Bat,Mumbai Indians,M Chinnaswamy Stadium,Sunny,167
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,Bat,Field,Kolkata Knight Riders,Eden Gardens,Sunny,168
Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,Kings XI Punjab,Field,Bat,Chennai Super Kings,Himachal Pradesh Cricket Association Stadium,Humid,169
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Bat,Field,Kolkata Knight Riders,Eden Gardens,Dry,170
Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,Bat,Field,Mumbai Indians,Dr DY Patil Sports Academy,Sunny,171
Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Mumbai Indians,Bat,Field,Chennai Super Kings,Dr DY Patil Sports Academy,Sunny,172
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Bat,Field,Chennai Super Kings,MA Chidambaram Stadium,Sunny,173
Delhi Daredevils,Mumbai Indians,Delhi Daredevils,Mumbai Indians,Bat,Field,Mumbai Indians,Feroz Shah Kotla,Sunny,174
Kings XI Punjab,Pune Warriors,Kings XI Punjab,Pune Warriors,Bat,Field,Pune Warriors,Dr DY Patil Sports Academy,Humid,175
Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,Bat,Field,Rajasthan Royals,Sawai Mansingh Stadium,Dry,176
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Royal Challengers Bangalore,Field,Bat,Mumbai Indians,M Chinnaswamy Stadium,Sunny,177
Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,Chennai Super Kings,Field,Bat,Kings XI Punjab,Punjab Cricket Association Stadium,Sunny,178
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Rajasthan Royals,Field,Bat,Kolkata Knight Riders,Sawai Mansingh Stadium,Sunny,179
Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,Bat,Field,Chennai Super Kings,MA Chidambaram Stadium,Humid,180
Pune Warriors,Delhi Daredevils,Delhi Daredevils,Pune Warriors,Field,Bat,Delhi Daredevils,Dr DY Patil Sports Academy,Dry,181
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Rajasthan Royals,Field,Bat,Kolkata Knight Riders,Eden Gardens,Sunny,182
Pune Warriors,Mumbai Indians,Pune Warriors,Mumbai Indians,Bat,Field,Mumbai Indians,Wankhede Stadium,Sunny,183
Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,Kings XI Punjab,Field,Bat,Kings XI Punjab,Punjab Cricket Association Stadium,Sunny,184
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Mumbai Indians,Field,Bat,Mumbai Indians,Wankhede Stadium,Humid,185
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,Field,Bat,Royal Challengers Bangalore,Eden Gardens,Dry,186
Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,Delhi Daredevils,Field,Bat,Delhi Daredevils,Feroz Shah Kotla,Humid,187
Chennai Super Kings,Pune Warriors,Pune Warriors,Chennai Super Kings,Field,Bat,Chennai Super Kings,MA Chidambaram Stadium,Humid,188
Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,Delhi Daredevils,Field,Bat,Royal Challengers Bangalore,Feroz Shah Kotla,Humid,189
Pune Warriors,Chennai Super Kings,Pune Warriors,Chennai Super Kings,Bat,Field,Chennai Super Kings,Dr DY Patil Sports Academy,Humid,190
Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,Kolkata Knight Riders,Field,Bat,Kolkata Knight Riders,Feroz Shah Kotla,Dry,191
Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Mumbai Indians,Field,Bat,Rajasthan Royals,Sawai Mansingh Stadium,Humid,192
Royal Challengers Bangalore,Pune Warriors,Pune Warriors,Royal Challengers Bangalore,Field,Bat,Royal Challengers Bangalore,M Chinnaswamy Stadium,Dry,193
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,Kings XI Punjab,Field,Bat,Kolkata Knight Riders,Eden Gardens,Dry,194
Pune Warriors,Rajasthan Royals,Rajasthan Royals,Pune Warriors,Field,Bat,Rajasthan Royals,Sawai Mansingh Stadium,Humid,195
Mumbai Indians,Kings XI Punjab,Kings XI Punjab,Mumbai Indians,Field,Bat,Mumbai Indians,Wankhede Stadium,Dry,196
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,Bat,Field,Chennai Super Kings,MA Chidambaram Stadium,Dry,197
Mumbai Indians,Pune Warriors,Pune Warriors,Mumbai Indians,Field,Bat,Mumbai Indians,Dr DY Patil Sports Academy,Dry,198
Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,Royal Challengers Bangalore,Field,Bat,Royal Challengers Bangalore,M Chinnaswamy Stadium,Dry,199
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Bat,Field,Kolkata Knight Riders,Eden Gardens,Dry,200
Mumbai Indians,Delhi Daredevils,Delhi Daredevils,Mumbai Indians,Field,Bat,Mumbai Indians,Wankhede Stadium,Humid,201
Kings XI Punjab,Pune Warriors,Kings XI Punjab,Pune Warriors,Bat,Field,Pune Warriors,Punjab Cricket Association Stadium,Dry,202
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Chennai Super Kings,Field,Bat,Chennai Super Kings,Sawai Mansingh Stadium,Dry,203
Kings XI Punjab,Mumbai Indians,Mumbai Indians,Kings XI Punjab,Field,Bat,Kings XI Punjab,Punjab Cricket Association Stadium,Dry,204
Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,Rajasthan Royals,Field,Bat,Royal Challengers Bangalore,Sawai Mansingh Stadium,Dry,205
Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,Bat,Field,Chennai Super Kings,MA Chidambaram Stadium,Sunny,206
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,Field,Bat,Royal Challengers Bangalore,M Chinnaswamy Stadium,Humid,207
Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,Kings XI Punjab,Field,Bat,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,Dry,208
Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,Bat,Field,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,Sunny,209
Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,Pune Warriors,Field,Bat,Kolkata Knight Riders,Dr DY Patil Sports Academy,Sunny,210
Mumbai Indians,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,Bat,Field,Rajasthan Royals,Wankhede Stadium,Sunny,211
Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,Chennai Super Kings,Field,Bat,Royal Challengers Bangalore,M Chinnaswamy Stadium,Sunny,212
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Kolkata Knight Riders,Field,Bat,Mumbai Indians,Eden Gardens,Humid,213
Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,Royal Challengers Bangalore,Field,Bat,Chennai Super Kings,Wankhede Stadium,Dry,214
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Kolkata Knight Riders,Field,Bat,Mumbai Indians,Wankhede Stadium,Dry,215
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Royal Challengers Bangalore,Field,Bat,Royal Challengers Bangalore,MA Chidambaram Stadium,Dry,216
Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,Bat,Field,Chennai Super Kings,MA Chidambaram Stadium,Dry,217
Chennai Super Kings,Mumbai Indians,Mumbai Indians,Chennai Super Kings,Field,Bat,Mumbai Indians,MA Chidambaram Stadium,Humid,218
Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,Kolkata Knight Riders,Field,Bat,Delhi Daredevils,Eden Gardens,Dry,219
Pune Warriors,Mumbai Indians,Mumbai Indians,Pune Warriors,Field,Bat,Pune Warriors,Wankhede Stadium,Humid,220
Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,Rajasthan Royals,Field,Bat,Rajasthan Royals,Sawai Mansingh Stadium,Humid,221
Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,Royal Challengers Bangalore,Field,Bat,Royal Challengers Bangalore,M Chinnaswamy Stadium,Humid,222
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Rajasthan Royals,Field,Bat,Rajasthan Royals,Sawai Mansingh Stadium,Humid,223
Pune Warriors,Kings XI Punjab,Pune Warriors,Kings XI Punjab,Bat,Field,Pune Warriors,Subrata Roy Sahara Stadium,Humid,224
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,Field,Bat,Kolkata Knight Riders,M Chinnaswamy Stadium,Dry,225
Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,Chennai Super Kings,Field,Bat,Delhi Daredevils,Feroz Shah Kotla,Humid,226
Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Mumbai Indians,Field,Bat,Mumbai Indians,Wankhede Stadium,Humid,227
Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,Bat,Field,Chennai Super Kings,MA Chidambaram Stadium,Humid,228
Pune Warriors,Kings XI Punjab,Kings XI Punjab,Pune Warriors,Field,Bat,Kings XI Punjab,Punjab Cricket Association Stadium,Humid,229
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,Bat,Field,Kolkata Knight Riders,Eden Gardens,Humid,230
Chennai Super Kings,Pune Warriors,Chennai Super Kings,Pune Warriors,Bat,Field,Pune Warriors,Subrata Roy Sahara Stadium,Dry,231
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,Kings XI Punjab,Field,Bat,Kings XI Punjab,Eden Gardens,Sunny,232
Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,Bat,Field,Rajasthan Royals,M Chinnaswamy Stadium,Sunny,233
Mumbai Indians,Delhi Daredevils,Delhi Daredevils,Mumbai Indians,Field,Bat,Delhi Daredevils,Wankhede Stadium,Dry,234
Pune Warriors,Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore,Bat,Field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Dry,235
Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,Bat,Field,Kolkata Knight Riders,Punjab Cricket Association Stadium,Humid,236
Chennai Super Kings,Pune Warriors,Pune Warriors,Chennai Super Kings,Field,Bat,Chennai Super Kings,MA Chidambaram Stadium,Dry,237
Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,Kings XI Punjab,Field,Bat,Royal Challengers Bangalore,Punjab Cricket Association Stadium,Dry,238
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,Bat,Field,Chennai Super Kings,MA Chidambaram Stadium,Dry,239
Pune Warriors,Delhi Daredevils,Delhi Daredevils,Pune Warriors,Field,Bat,Pune Warriors,Feroz Shah Kotla,Dry,240
Mumbai Indians,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,Bat,Field,Kings XI Punjab,Wankhede Stadium,Dry,241
Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,Royal Challengers Bangalore,Field,Bat,Royal Challengers Bangalore,Sawai Mansingh Stadium,Humid,242
Pune Warriors,Delhi Daredevils,Pune Warriors,Delhi Daredevils,Bat,Field,Delhi Daredevils,Subrata Roy Sahara Stadium,Dry,243
Kings XI Punjab,Mumbai Indians,Kings XI Punjab,Mumbai Indians,Bat,Field,Mumbai Indians,Punjab Cricket Association Stadium,Dry,244
Delhi Daredevils,Mumbai Indians,Mumbai Indians,Delhi Daredevils,Field,Bat,Delhi Daredevils,Feroz Shah Kotla,Dry,245
Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,Bat,Field,Kings XI Punjab,MA Chidambaram Stadium,Sunny,246
Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,Bat,Field,Kolkata Knight Riders,Eden Gardens,Sunny,247
Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,Bat,Field,Delhi Daredevils,Feroz Shah Kotla,Humid,248
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Bat,Field,Kolkata Knight Riders,MA Chidambaram Stadium,Dry,249
Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,Bat,Field,Delhi Daredevils,Sawai Mansingh Stadium,Sunny,250
Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,Royal Challengers Bangalore,Field,Bat,Kings XI Punjab,M Chinnaswamy Stadium,Dry,251
Mumbai Indians,Pune Warriors,Mumbai Indians,Pune Warriors,Bat,Field,Mumbai Indians,Subrata Roy Sahara Stadium,Dry,252
Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,Pune Warriors,Bat,Field,Kolkata Knight Riders,Eden Gardens,Dry,253
Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,Bat,Field,Rajasthan Royals,Punjab Cricket Association Stadium,Humid,254
Chennai Super Kings,Mumbai Indians,Mumbai Indians,Chennai Super Kings,Field,Bat,Mumbai Indians,Wankhede Stadium,Dry,255
Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Bat,Field,Kolkata Knight Riders,Feroz Shah Kotla,Humid,256
Pune Warriors,Rajasthan Royals,Pune Warriors,Rajasthan Royals,Bat,Field,Rajasthan Royals,Subrata Roy Sahara Stadium,Humid,257
Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Mumbai Indians,Field,Bat,Royal Challengers Bangalore,Wankhede Stadium,Humid,258
Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,Rajasthan Royals,Field,Bat,Chennai Super Kings,Sawai Mansingh Stadium,Humid,259
Royal Challengers Bangalore,Pune Warriors,Pune Warriors,Royal Challengers Bangalore,Field,Bat,Royal Challengers Bangalore,Subrata Roy Sahara Stadium,Humid,260
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Bat,Field,Mumbai Indians,Eden Gardens,Dry,261
Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,Delhi Daredevils,Field,Bat,Chennai Super Kings,MA Chidambaram Stadium,Sunny,262
Rajasthan Royals,Pune Warriors,Rajasthan Royals,Pune Warriors,Bat,Field,Rajasthan Royals,Sawai Mansingh Stadium,Dry,263
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Royal Challengers Bangalore,Field,Bat,Mumbai Indians,M Chinnaswamy Stadium,Dry,264
Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Kolkata Knight Riders,Field,Bat,Chennai Super Kings,Eden Gardens,Humid,265
Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,Bat,Field,Delhi Daredevils,Feroz Shah Kotla,Dry,266
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Kolkata Knight Riders,Field,Bat,Kolkata Knight Riders,Wankhede Stadium,Dry,267
Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,Chennai Super Kings,Field,Bat,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,Dry,268
Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,Royal Challengers Bangalore,Field,Bat,Royal Challengers Bangalore,Feroz Shah Kotla,Dry,269
Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,Kings XI Punjab,Field,Bat,Delhi Daredevils,Himachal Pradesh Cricket Association Stadium,Sunny,270
Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,Pune Warriors,Bat,Field,Kolkata Knight Riders,Subrata Roy Sahara Stadium,Humid,271
Rajasthan Royals,Mumbai Indians,Rajasthan Royals,Mumbai Indians,Bat,Field,Mumbai Indians,Sawai Mansingh Stadium,Dry,272
Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,Bat,Field,Kolkata Knight Riders,Subrata Roy Sahara Stadium,Sunny,273
Chennai Super Kings,Mumbai Indians,Mumbai Indians,Chennai Super Kings,Field,Bat,Chennai Super Kings,M Chinnaswamy Stadium,Sunny,274
Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,Chennai Super Kings,Field,Bat,Chennai Super Kings,MA Chidambaram Stadium,Humid,275
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Bat,Field,Kolkata Knight Riders,MA Chidambaram Stadium,Humid,276
Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,Delhi Daredevils,Field,Bat,Kolkata Knight Riders,Eden Gardens,Humid,277
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Royal Challengers Bangalore,Field,Bat,Royal Challengers Bangalore,M Chinnaswamy Stadium,Dry,278
Sunrisers Hyderabad,Pune Warriors,Pune Warriors,Sunrisers Hyderabad,Field,Bat,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Humid,279
Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,Bat,Field,Rajasthan Royals,Feroz Shah Kotla,Humid,280
Mumbai Indians,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Bat,Field,Mumbai Indians,MA Chidambaram Stadium,Humid,281
Pune Warriors,Kings XI Punjab,Pune Warriors,Kings XI Punjab,Bat,Field,Kings XI Punjab,Subrata Roy Sahara Stadium,Humid,282
Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,Bat,Field,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Humid,283
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Rajasthan Royals,Field,Bat,Rajasthan Royals,Sawai Mansingh Stadium,Humid,284
Mumbai Indians,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,Bat,Field,Mumbai Indians,Wankhede Stadium,Humid,285
Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,Kings XI Punjab,Field,Bat,Chennai Super Kings,Punjab Cricket Association Stadium,Humid,286
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,Field,Bat,Royal Challengers Bangalore,M Chinnaswamy Stadium,Dry,287
Rajasthan Royals,Pune Warriors,Rajasthan Royals,Pune Warriors,Bat,Field,Pune Warriors,Subrata Roy Sahara Stadium,Humid,288
Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,Bat,Field,Sunrisers Hyderabad,Feroz Shah Kotla,Humid,289
Mumbai Indians,Pune Warriors,Mumbai Indians,Pune Warriors,Bat,Field,Mumbai Indians,Wankhede Stadium,Humid,290
Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,Royal Challengers Bangalore,Field,Bat,Chennai Super Kings,MA Chidambaram Stadium,Humid,291
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Bat,Field,Kolkata Knight Riders,Eden Gardens,Humid,292
Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,Kings XI Punjab,Field,Bat,Rajasthan Royals,Sawai Mansingh Stadium,Humid,293
Pune Warriors,Chennai Super Kings,Pune Warriors,Chennai Super Kings,Bat,Field,Pune Warriors,MA Chidambaram Stadium,Humid,294
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,Kings XI Punjab,Field,Bat,Kings XI Punjab,Punjab Cricket Association Stadium,Humid,295
Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,Delhi Daredevils,Field,Bat,Royal Challengers Bangalore,M Chinnaswamy Stadium,Humid,296
Sunrisers Hyderabad,Pune Warriors,Pune Warriors,Sunrisers Hyderabad,Field,Bat,Sunrisers Hyderabad,Subrata Roy Sahara Stadium,Humid,297
Rajasthan Royals,Mumbai Indians,Rajasthan Royals,Mumbai Indians,Bat,Field,Rajasthan Royals,Sawai Mansingh Stadium,Humid,298
Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,Bat,Field,Chennai Super Kings,Feroz Shah Kotla,Humid,299
Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,Bat,Field,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Humid,300
Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Bat,Field,Chennai Super Kings,Eden Gardens,Humid,301
Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,Rajasthan Royals,Field,Bat,Royal Challengers Bangalore,M Chinnaswamy Stadium,Humid,302
Mumbai Indians,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,Bat,Field,Delhi Daredevils,Feroz Shah Kotla,Humid,303
Pune Warriors,Kings XI Punjab,Kings XI Punjab,Pune Warriors,Field,Bat,Kings XI Punjab,Punjab Cricket Association Stadium,Sunny,304
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,Bat,Field,Chennai Super Kings,MA Chidambaram Stadium,Sunny,305
Royal Challengers Bangalore,Pune Warriors,Pune Warriors,Royal Challengers Bangalore,Field,Bat,Royal Challengers Bangalore,M Chinnaswamy Stadium,Sunny,306
Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,Kings XI Punjab,Field,Bat,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,Humid,307
Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Bat,Field,Mumbai Indians,Eden Gardens,Sunny,308
Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,Bat,Field,Chennai Super Kings,MA Chidambaram Stadium,Humid,309
Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,Bat,Field,Kolkata Knight Riders,Eden Gardens,Humid,310
Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,Bat,Field,Rajasthan Royals,Sawai Mansingh Stadium,Humid,311
Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,Bat,Field,Mumbai Indians,Wankhede Stadium,Humid,312
Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Chennai Super Kings,Field,Bat,Chennai Super Kings,MA Chidambaram Stadium,Humid,313
Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Field,Bat,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,Humid,314
