team1,team2,toss_winner,toss_loser,toss_winner_decision,toss_loser_decision,match_winner,venue,weather,id
Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,Royal Challengers Bangalore,Field,Bat,Rajasthan Royals,Sawai Mansingh Stadium,Sunny,315
Mumbai Indians,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,Bat,Field,Mumbai Indians,Wankhede Stadium,Humid,316
Chennai Super Kings,Pune Warriors,Chennai Super Kings,Pune Warriors,Bat,Field,Chennai Super Kings,Subrata Roy Sahara Stadium,Humid,317
Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Bat,Field,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Humid,318
Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,Bat,Field,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,Humid,319
Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,Bat,Field,Chennai Super Kings,MA Chidambaram Stadium,Humid,320
Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore,Pune Warriors,Bat,Field,Royal Challengers Bangalore,Subrata Roy Sahara Stadium,Sunny,321
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,Bat,Field,Kolkata Knight Riders,Eden Gardens,Humid,322
Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,Bat,Field,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Humid,323
Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,Royal Challengers Bangalore,Field,Bat,Kings XI Punjab,M Chinnaswamy Stadium,Humid,324
Mumbai Indians,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Bat,Field,Mumbai Indians,Wankhede Stadium,Humid,325
Pune Warriors,Rajasthan Royals,Pune Warriors,Rajasthan Royals,Bat,Field,Rajasthan Royals,Sawai Mansingh Stadium,Humid,326
Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,Bat,Field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Humid,327
Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,Bat,Field,Rajasthan Royals,Sawai Mansingh Stadium,Humid,328
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Bat,Field,Mumbai Indians,Wankhede Stadium,Humid,329
Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Chennai Super Kings,Field,Bat,Chennai Super Kings,Rajiv Gandhi International Stadium,Humid,330
Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,Kings XI Punjab,Field,Bat,Rajasthan Royals,Punjab Cricket Association Stadium,Humid,331
Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,Pune Warriors,Bat,Field,Kolkata Knight Riders,Subrata Roy Sahara Stadium,Humid,332
Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,Royal Challengers Bangalore,Field,Bat,Royal Challengers Bangalore,Feroz Shah Kotla,Humid,333
Pune Warriors,Mumbai Indians,Pune Warriors,Mumbai Indians,Bat,Field,Mumbai Indians,Subrata Roy Sahara Stadium,Humid,334
Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,Sunrisers Hyderabad,Field,Bat,Sunrisers Hyderabad,Punjab Cricket Association Stadium,Sunny,335
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,Royal Challengers Bangalore,Field,Bat,Kolkata Knight Riders,JSCA International Stadium Complex,Sunny,336
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Chennai Super Kings,Field,Bat,Rajasthan Royals,Sawai Mansingh Stadium,Sunny,337
Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,Delhi Daredevils,Field,Bat,Kings XI Punjab,Feroz Shah Kotla,Sunny,338
Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Bat,Field,Mumbai Indians,Wankhede Stadium,Humid,339
Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,Pune Warriors,Field,Bat,Pune Warriors,JSCA International Stadium Complex,Sunny,340
Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,Bat,Field,Chennai Super Kings,MA Chidambaram Stadium,Sunny,341
Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Mumbai Indians,Field,Bat,Mumbai Indians,Wankhede Stadium,Sunny,342
Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,Royal Challengers Bangalore,Field,Bat,Kings XI Punjab,Punjab Cricket Association Stadium,Humid,343
Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,Bat,Field,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Sunny,344
Kings XI Punjab,Mumbai Indians,Mumbai Indians,Kings XI Punjab,Field,Bat,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,Humid,345
Pune Warriors,Delhi Daredevils,Pune Warriors,Delhi Daredevils,Bat,Field,Pune Warriors,Subrata Roy Sahara Stadium,Sunny,346
Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,Royal Challengers Bangalore,Field,Bat,Royal Challengers Bangalore,M Chinnaswamy Stadium,Humid,347
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Bat,Field,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Humid,348
Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Mumbai Indians,Bat,Field,Chennai Super Kings,Feroz Shah Kotla,Humid,349
Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,Bat,Field,Rajasthan Royals,Feroz Shah Kotla,Humid,350
Rajasthan Royals,Mumbai Indians,Rajasthan Royals,Mumbai Indians,Bat,Field,Mumbai Indians,Eden Gardens,Humid,351
Mumbai Indians,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Bat,Field,Mumbai Indians,Eden Gardens,Sunny,352
Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Bat,Field,Kolkata Knight Riders,Sheikh Zayed Stadium,Sunny,353
Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,Delhi Daredevils,Field,Bat,Royal Challengers Bangalore,Sharjah Cricket Stadium,Sunny,354
Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,Bat,Field,Kings XI Punjab,Sheikh Zayed Stadium,Humid,355
Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Sunrisers Hyderabad,Field,Bat,Rajasthan Royals,Sheikh Zayed Stadium,Sunny,356
Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Mumbai Indians,Field,Bat,Royal Challengers Bangalore,Dubai International Cricket Stadium,Sunny,357
Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,Bat,Field,Delhi Daredevils,Dubai International Cricket Stadium,Humid,358
Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,Rajasthan Royals,Field,Bat,Kings XI Punjab,Sharjah Cricket Stadium,Humid,359
Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,Bat,Field,Chennai Super Kings,Sheikh Zayed Stadium,Humid,360
Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,Kings XI Punjab,Field,Bat,Kings XI Punjab,Sharjah Cricket Stadium,Humid,361
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Chennai Super Kings,Field,Bat,Chennai Super Kings,Dubai International Cricket Stadium,Humid,362
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,Field,Bat,Kolkata Knight Riders,Sharjah Cricket Stadium,Humid,363
Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,Bat,Field,Sunrisers Hyderabad,Dubai International Cricket Stadium,Sunny,364
Mumbai Indians,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Bat,Field,Chennai Super Kings,Dubai International Cricket Stadium,Humid,365
Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,Royal Challengers Bangalore,Field,Bat,Rajasthan Royals,Sheikh Zayed Stadium,Sunny,366
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,Kings XI Punjab,Field,Bat,Kings XI Punjab,Sheikh Zayed Stadium,Humid,367
Mumbai Indians,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,Bat,Field,Delhi Daredevils,Sharjah Cricket Stadium,Sunny,368
Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,Bat,Field,Chennai Super Kings,Sharjah Cricket Stadium,Sunny,369
Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,Royal Challengers Bangalore,Field,Bat,Kings XI Punjab,Dubai International Cricket Stadium,Humid,370
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,Bat,Field,Rajasthan Royals,Sheikh Zayed Stadium,Humid,371
Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,Sunrisers Hyderabad,Field,Bat,Sunrisers Hyderabad,Dubai International Cricket Stadium,Sunny,372
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Bat,Field,Chennai Super Kings,JSCA International Stadium Complex,Sunny,373
Kings XI Punjab,Mumbai Indians,Kings XI Punjab,Mumbai Indians,Bat,Field,Mumbai Indians,Wankhede Stadium,Humid,374
Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,Delhi Daredevils,Field,Bat,Rajasthan Royals,Feroz Shah Kotla,Sunny,375
Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad,Field,Bat,Royal Challengers Bangalore,M Chinnaswamy Stadium,Sunny,376
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Rajasthan Royals,Field,Bat,Rajasthan Royals,Sardar Patel Stadium,Humid,377
Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,Delhi Daredevils,Field,Bat,Chennai Super Kings,Feroz Shah Kotla,Humid,378
Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Mumbai Indians,Field,Bat,Mumbai Indians,Wankhede Stadium,Humid,379
Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Bat,Field,Kolkata Knight Riders,Feroz Shah Kotla,Humid,380
Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,Kings XI Punjab,Field,Bat,Kings XI Punjab,BaraBati Stadium,Humid,381
Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Sunrisers Hyderabad,Field,Bat,Sunrisers Hyderabad,Sardar Patel Stadium,Humid,382
Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,Kings XI Punjab,Field,Bat,Kings XI Punjab,M Chinnaswamy Stadium,Humid,383
Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,Delhi Daredevils,Field,Bat,Sunrisers Hyderabad,Feroz Shah Kotla,Humid,384
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Mumbai Indians,Field,Bat,Chennai Super Kings,Wankhede Stadium,Humid,385
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,Kings XI Punjab,Field,Bat,Kolkata Knight Riders,BaraBati Stadium,Humid,386
Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,Bat,Field,Rajasthan Royals,M Chinnaswamy Stadium,Humid,387
Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Bat,Field,Mumbai Indians,Rajiv Gandhi International Stadium,Humid,388
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,Bat,Field,Chennai Super Kings,JSCA International Stadium Complex,Humid,389
Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,Royal Challengers Bangalore,Field,Bat,Royal Challengers Bangalore,M Chinnaswamy Stadium,Humid,390
Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,Sunrisers Hyderabad,Field,Bat,Kings XI Punjab,Rajiv Gandhi International Stadium,Sunny,391
Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Mumbai Indians,Field,Bat,Kolkata Knight Riders,BaraBati Stadium,Sunny,392
Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,Rajasthan Royals,Field,Bat,Rajasthan Royals,Sardar Patel Stadium,Humid,393
Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,Bat,Field,Royal Challengers Bangalore,JSCA International Stadium Complex,Sunny,394
Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Bat,Field,Kolkata Knight Riders,Rajiv Gandhi International Stadium,Sunny,395
Mumbai Indians,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,Bat,Field,Mumbai Indians,Sardar Patel Stadium,Sunny,396
Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,Delhi Daredevils,Field,Bat,Kings XI Punjab,Feroz Shah Kotla,Sunny,397
Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,Bat,Field,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Sunny,398
Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Chennai Super Kings,Field,Bat,Kolkata Knight Riders,Eden Gardens,Humid,399
Kings XI Punjab,Mumbai Indians,Mumbai Indians,Kings XI Punjab,Field,Bat,Mumbai Indians,Punjab Cricket Association Stadium,Sunny,400
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,Field,Bat,Kolkata Knight Riders,Eden Gardens,Sunny,401
Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Chennai Super Kings,Field,Bat,Sunrisers Hyderabad,JSCA International Stadium Complex,Sunny,402
Mumbai Indians,Delhi Daredevils,Delhi Daredevils,Mumbai Indians,Field,Bat,Mumbai Indians,Wankhede Stadium,Sunny,403
Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,Kings XI Punjab,Field,Bat,Kings XI Punjab,Punjab Cricket Association Stadium,Humid,404
Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,Royal Challengers Bangalore,Field,Bat,Chennai Super Kings,M Chinnaswamy Stadium,Sunny,405
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Sunrisers Hyderabad,Field,Bat,Kolkata Knight Riders,Eden Gardens,Sunny,406
Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,Delhi Daredevils,Field,Bat,Kings XI Punjab,Punjab Cricket Association Stadium,Humid,407
Rajasthan Royals,Mumbai Indians,Mumbai Indians,Rajasthan Royals,Field,Bat,Mumbai Indians,Wankhede Stadium,Sunny,408
Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,Kolkata Knight Riders,Field,Bat,Kolkata Knight Riders,Eden Gardens,Sunny,409
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Mumbai Indians,Field,Bat,Chennai Super Kings,Brabourne Stadium,Sunny,410
Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,Kings XI Punjab,Field,Bat,Kings XI Punjab,Wankhede Stadium,Sunny,411
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,Kings XI Punjab,Field,Bat,Kolkata Knight Riders,M Chinnaswamy Stadium,Sunny,412
Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Mumbai Indians,Field,Bat,Kolkata Knight Riders,Eden Gardens,Humid,413
Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,Chennai Super Kings,Field,Bat,Chennai Super Kings,MA Chidambaram Stadium,Sunny,414
Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,Rajasthan Royals,Field,Bat,Rajasthan Royals,Maharashtra Cricket Association Stadium,Sunny,415
Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,Bat,Field,Chennai Super Kings,MA Chidambaram Stadium,Sunny,416
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,Field,Bat,Royal Challengers Bangalore,Eden Gardens,Humid,417
Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,Delhi Daredevils,Field,Bat,Rajasthan Royals,Feroz Shah Kotla,Sunny,418
Kings XI Punjab,Mumbai Indians,Mumbai Indians,Kings XI Punjab,Field,Bat,Kings XI Punjab,Wankhede Stadium,Sunny,419
Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,Field,Bat,Sunrisers Hyderabad,M Chinnaswamy Stadium,Sunny,420
Mumbai Indians,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,Bat,Field,Rajasthan Royals,Sardar Patel Stadium,Sunny,421
Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Chennai Super Kings,Field,Bat,Kolkata Knight Riders,Eden Gardens,Sunny,422
Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,Bat,Field,Delhi Daredevils,Maharashtra Cricket Association Stadium,Humid,423
Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Sunrisers Hyderabad,Field,Bat,Rajasthan Royals,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunny,424
Mumbai Indians,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Bat,Field,Chennai Super Kings,Wankhede Stadium,Sunny,425
Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,Bat,Field,Delhi Daredevils,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunny,426
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,Kings XI Punjab,Field,Bat,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,Humid,427
Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Bat,Field,Rajasthan Royals,Sardar Patel Stadium,Sunny,428
Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Mumbai Indians,Field,Bat,Mumbai Indians,M Chinnaswamy Stadium,Sunny,429
Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,Delhi Daredevils,Field,Bat,Kolkata Knight Riders,Feroz Shah Kotla,Sunny,430
Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,Rajasthan Royals,Field,Bat,Kings XI Punjab,Sardar Patel Stadium,Sunny,431
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Sunrisers Hyderabad,Field,Bat,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunny,432
Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,Chennai Super Kings,Field,Bat,Chennai Super Kings,M Chinnaswamy Stadium,Sunny,433
Delhi Daredevils,Mumbai Indians,Mumbai Indians,Delhi Daredevils,Field,Bat,Delhi Daredevils,Feroz Shah Kotla,Sunny,434
Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,Rajasthan Royals,Field,Bat,Royal Challengers Bangalore,Sardar Patel Stadium,Humid,435
Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Bat,Field,Mumbai Indians,Wankhede Stadium,Sunny,436
Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,Bat,Field,Chennai Super Kings,MA Chidambaram Stadium,Sunny,437
Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,Delhi Daredevils,Field,Bat,Royal Challengers Bangalore,Feroz Shah Kotla,Sunny,438
Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,Sunrisers Hyderabad,Field,Bat,Sunrisers Hyderabad,Punjab Cricket Association Stadium,Sunny,439
Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,Bat,Field,Kolkata Knight Riders,Eden Gardens,Sunny,440
Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Chennai Super Kings,Field,Bat,Chennai Super Kings,MA Chidambaram Stadium,Sunny,441
Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,Kings XI Punjab,Field,Bat,Delhi Daredevils,Feroz Shah Kotla,Humid,442
Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Mumbai Indians,Field,Bat,Mumbai Indians,Wankhede Stadium,Sunny,443
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,Field,Bat,Royal Challengers Bangalore,M Chinnaswamy Stadium,Sunny,444
Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,Sunrisers Hyderabad,Field,Bat,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Sunny,445
Mumbai Indians,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,Bat,Field,Mumbai Indians,Punjab Cricket Association Stadium,Sunny,446
Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,Rajasthan Royals,Field,Bat,Rajasthan Royals,Brabourne Stadium,Sunny,447
Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,Bat,Field,Chennai Super Kings,MA Chidambaram Stadium,Humid,448
Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,Field,Bat,Kolkata Knight Riders,Eden Gardens,Sunny,449
Delhi Daredevils,Mumbai Indians,Delhi Daredevils,Mumbai Indians,Bat,Field,Mumbai Indians,Wankhede Stadium,Sunny,450
Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,Royal Challengers Bangalore,Field,Bat,Royal Challengers Bangalore,M Chinnaswamy Stadium,Sunny,451
Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Sunrisers Hyderabad,Field,Bat,Sunrisers Hyderabad,Brabourne Stadium,Sunny,452
Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Mumbai Indians,Bat,Field,Mumbai Indians,MA Chidambaram Stadium,Humid,453
Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,Bat,Field,Kolkata Knight Riders,Eden Gardens,Sunny,454
Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,Bat,Field,Sunrisers Hyderabad,Shaheed Veer Narayan Singh International Stadium,Sunny,455
Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Bat,Field,Royal Challengers Bangalore,Wankhede Stadium,Sunny,456
Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Bat,Field,Chennai Super Kings,MA Chidambaram Stadium,Sunny,457
Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,Bat,Field,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Sunny,458
Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,Bat,Field,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,Humid,459
Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,Kings XI Punjab,Field,Bat,Kings XI Punjab,Punjab Cricket Association Stadium,Sunny,460
Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Mumbai Indians,Field,Bat,Mumbai Indians,Wankhede Stadium,Sunny,461
Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,Bat,Field,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,Sunny,462
Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,Bat,Field,Chennai Super Kings,Punjab Cricket Association Stadium,Sunny,463
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,Bat,Field,Rajasthan Royals,Brabourne Stadium,Sunny,464
Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Bat,Field,Mumbai Indians,Rajiv Gandhi International Stadium,Humid,465
Mumbai Indians,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Bat,Field,Mumbai Indians,Wankhede Stadium,Sunny,466
