team1,team2,toss_winner,toss_loser,toss_winner_decision,toss_loser_decision,match_winner,venue,weather,id
Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,Bat,Field,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,Sunny,467
Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,Royal Challengers Bangalore,Field,Bat,Chennai Super Kings,JSCA International Stadium Complex,Sunny,468
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Mumbai Indians,Field,Bat,Mumbai Indians,Eden Gardens,Sunny,469
Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,Delhi Daredevils,Field,Bat,Kolkata Knight Riders,Eden Gardens,Sunny,470
Kings XI Punjab,Gujarat Lions,Gujarat Lions,Kings XI Punjab,Field,Bat,Gujarat Lions,Punjab Cricket Association Stadium,Sunny,471
Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,Field,Bat,Royal Challengers Bangalore,M Chinnaswamy Stadium,Sunny,472
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Kolkata Knight Riders,Field,Bat,Mumbai Indians,Eden Gardens,Humid,473
Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,Kings XI Punjab,Field,Bat,Delhi Daredevils,Feroz Shah Kotla,Sunny,474
Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Bat,Field,Kolkata Knight Riders,Rajiv Gandhi International Stadium,Sunny,475
Mumbai Indians,Gujarat Lions,Gujarat Lions,Mumbai Indians,Field,Bat,Gujarat Lions,Wankhede Stadium,Sunny,476
Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,Royal Challengers Bangalore,Field,Bat,Delhi Daredevils,M Chinnaswamy Stadium,Humid,477
Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,Mumbai Indians,Field,Bat,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Sunny,478
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,Kings XI Punjab,Field,Bat,Kolkata Knight Riders,Punjab Cricket Association Stadium,Sunny,479
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Royal Challengers Bangalore,Field,Bat,Mumbai Indians,Wankhede Stadium,Sunny,480
Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,Gujarat Lions,Field,Bat,Sunrisers Hyderabad,Saurashtra Cricket Association Stadium,Humid,481
Delhi Daredevils,Mumbai Indians,Mumbai Indians,Delhi Daredevils,Field,Bat,Delhi Daredevils,Feroz Shah Kotla,Sunny,482
Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,Kings XI Punjab,Field,Bat,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Sunny,483
Royal Challengers Bangalore,Gujarat Lions,Royal Challengers Bangalore,Gujarat Lions,Bat,Field,Gujarat Lions,Saurashtra Cricket Association Stadium,Sunny,484
Mumbai Indians,Kings XI Punjab,Kings XI Punjab,Mumbai Indians,Field,Bat,Mumbai Indians,Punjab Cricket Association Stadium,Sunny,485
Gujarat Lions,Delhi Daredevils,Delhi Daredevils,Gujarat Lions,Field,Bat,Gujarat Lions,Feroz Shah Kotla,Humid,486
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Kolkata Knight Riders,Field,Bat,Mumbai Indians,Wankhede Stadium,Sunny,487
Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,Delhi Daredevils,Field,Bat,Delhi Daredevils,Feroz Shah Kotla,Sunny,488
Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad,Field,Bat,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Sunny,489
Kings XI Punjab,Gujarat Lions,Gujarat Lions,Kings XI Punjab,Field,Bat,Kings XI Punjab,Saurashtra Cricket Association Stadium,Humid,490
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,Royal Challengers Bangalore,Field,Bat,Kolkata Knight Riders,M Chinnaswamy Stadium,Sunny,491
Gujarat Lions,Delhi Daredevils,Delhi Daredevils,Gujarat Lions,Field,Bat,Delhi Daredevils,Saurashtra Cricket Association Stadium,Sunny,492
Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,Kolkata Knight Riders,Field,Bat,Kolkata Knight Riders,Eden Gardens,Sunny,493
Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,Gujarat Lions,Field,Bat,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Sunny,494
Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,Kings XI Punjab,Field,Bat,Kings XI Punjab,Punjab Cricket Association Stadium,Humid,495
Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,Sunrisers Hyderabad,Field,Bat,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunny,496
Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,Kolkata Knight Riders,Field,Bat,Gujarat Lions,Eden Gardens,Sunny,497
Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,Royal Challengers Bangalore,Field,Bat,Royal Challengers Bangalore,Punjab Cricket Association Stadium,Sunny,498
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Royal Challengers Bangalore,Field,Bat,Mumbai Indians,M Chinnaswamy Stadium,Sunny,499
Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,Sunrisers Hyderabad,Field,Bat,Delhi Daredevils,Rajiv Gandhi International Stadium,Sunny,500
Mumbai Indians,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,Bat,Field,Kings XI Punjab,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunny,501
Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,Royal Challengers Bangalore,Field,Bat,Royal Challengers Bangalore,M Chinnaswamy Stadium,Sunny,502
Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,Bat,Field,Sunrisers Hyderabad,Punjab Cricket Association Stadium,Humid,503
Mumbai Indians,Delhi Daredevils,Delhi Daredevils,Mumbai Indians,Field,Bat,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunny,504
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,Field,Bat,Royal Challengers Bangalore,Eden Gardens,Sunny,505
Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,Royal Challengers Bangalore,Field,Bat,Royal Challengers Bangalore,M Chinnaswamy Stadium,Sunny,506
Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,Kolkata Knight Riders,Field,Bat,Gujarat Lions,Green Park,Sunny,507
Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,Sunrisers Hyderabad,Field,Bat,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,Sunny,508
Mumbai Indians,Gujarat Lions,Gujarat Lions,Mumbai Indians,Field,Bat,Gujarat Lions,Green Park,Humid,509
Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,Field,Bat,Kolkata Knight Riders,Eden Gardens,Sunny,510
Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,Delhi Daredevils,Field,Bat,Royal Challengers Bangalore,Shaheed Veer Narayan Singh International Stadium,Sunny,511
Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore,Gujarat Lions,Field,Bat,Royal Challengers Bangalore,M Chinnaswamy Stadium,Sunny,512
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Sunrisers Hyderabad,Field,Bat,Sunrisers Hyderabad,Feroz Shah Kotla,Sunny,513
Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,Gujarat Lions,Field,Bat,Sunrisers Hyderabad,Feroz Shah Kotla,Humid,514
Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,Bat,Field,Sunrisers Hyderabad,M Chinnaswamy Stadium,Sunny,515
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Mumbai Indians,Field,Bat,Chennai Super Kings,Wankhede Stadium,Sunny,516
Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,Delhi Daredevils,Field,Bat,Kings XI Punjab,Punjab Cricket Association Stadium,Sunny,517
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,Royal Challengers Bangalore,Field,Bat,Kolkata Knight Riders,Eden Gardens,Humid,518
Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,Rajasthan Royals,Field,Bat,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Sunny,519
Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Kolkata Knight Riders,Field,Bat,Chennai Super Kings,MA Chidambaram Stadium,Sunny,520
Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,Rajasthan Royals,Field,Bat,Rajasthan Royals,Sawai Mansingh Stadium,Sunny,521
Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,Mumbai Indians,Field,Bat,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Sunny,522
Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,Kings XI Punjab,Field,Bat,Royal Challengers Bangalore,M Chinnaswamy Stadium,Humid,523
Mumbai Indians,Delhi Daredevils,Delhi Daredevils,Mumbai Indians,Field,Bat,Delhi Daredevils,Wankhede Stadium,Sunny,524
Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,Field,Bat,Sunrisers Hyderabad,Eden Gardens,Sunny,525
Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,Rajasthan Royals,Field,Bat,Rajasthan Royals,M Chinnaswamy Stadium,Sunny,526
Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,Kings XI Punjab,Field,Bat,Kings XI Punjab,Punjab Cricket Association Stadium,Sunny,527
Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,Kolkata Knight Riders,Field,Bat,Kolkata Knight Riders,Eden Gardens,Sunny,528
Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Mumbai Indians,Field,Bat,Mumbai Indians,Wankhede Stadium,Humid,529
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Rajasthan Royals,Field,Bat,Kolkata Knight Riders,Sawai Mansingh Stadium,Sunny,530
Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,Bat,Field,Kings XI Punjab,Punjab Cricket Association Stadium,Sunny,531
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Chennai Super Kings,Field,Bat,Chennai Super Kings,Maharashtra Cricket Association Stadium,Sunny,532
Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,Kolkata Knight Riders,Field,Bat,Kings XI Punjab,Eden Gardens,Sunny,533
Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,Delhi Daredevils,Field,Bat,Royal Challengers Bangalore,M Chinnaswamy Stadium,Humid,534
Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Chennai Super Kings,Field,Bat,Chennai Super Kings,Rajiv Gandhi International Stadium,Sunny,535
Mumbai Indians,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,Bat,Field,Rajasthan Royals,Sawai Mansingh Stadium,Sunny,536
Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,Kings XI Punjab,Field,Bat,Kings XI Punjab,Feroz Shah Kotla,Sunny,537
Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,Sunrisers Hyderabad,Field,Bat,Sunrisers Hyderabad,Wankhede Stadium,Sunny,538
Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,Royal Challengers Bangalore,Field,Bat,Chennai Super Kings,M Chinnaswamy Stadium,Humid,539
Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,Sunrisers Hyderabad,Field,Bat,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Sunny,540
Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,Delhi Daredevils,Field,Bat,Delhi Daredevils,Feroz Shah Kotla,Sunny,541
Chennai Super Kings,Mumbai Indians,Mumbai Indians,Chennai Super Kings,Field,Bat,Mumbai Indians,Maharashtra Cricket Association Stadium,Sunny,542
Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,Bat,Field,Sunrisers Hyderabad,Sawai Mansingh Stadium,Sunny,543
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,Royal Challengers Bangalore,Field,Bat,Kolkata Knight Riders,M Chinnaswamy Stadium,Sunny,544
Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,Chennai Super Kings,Field,Bat,Chennai Super Kings,Maharashtra Cricket Association Stadium,Humid,545
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Royal Challengers Bangalore,Field,Bat,Royal Challengers Bangalore,M Chinnaswamy Stadium,Sunny,546
Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,Delhi Daredevils,Field,Bat,Delhi Daredevils,Feroz Shah Kotla,Sunny,547
Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Chennai Super Kings,Field,Bat,Kolkata Knight Riders,Eden Gardens,Sunny,548
Kings XI Punjab,Mumbai Indians,Mumbai Indians,Kings XI Punjab,Field,Bat,Mumbai Indians,Holkar Cricket Stadium,Humid,549
Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,Royal Challengers Bangalore,Field,Bat,Chennai Super Kings,Maharashtra Cricket Association Stadium,Sunny,550
Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,Bat,Field,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Sunny,551
Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Mumbai Indians,Field,Bat,Mumbai Indians,Wankhede Stadium,Humid,552
Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,Rajasthan Royals,Field,Bat,Kings XI Punjab,Holkar Cricket Stadium,Sunny,553
Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad,Field,Bat,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Sunny,554
Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,Bat,Field,Rajasthan Royals,Sawai Mansingh Stadium,Humid,555
Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Mumbai Indians,Field,Bat,Mumbai Indians,Eden Gardens,Sunny,556
Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,Bat,Field,Sunrisers Hyderabad,Feroz Shah Kotla,Sunny,557
Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Bat,Field,Rajasthan Royals,Sawai Mansingh Stadium,Humid,558
Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,Kolkata Knight Riders,Field,Bat,Kolkata Knight Riders,Holkar Cricket Stadium,Sunny,559
Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,Delhi Daredevils,Field,Bat,Royal Challengers Bangalore,Feroz Shah Kotla,Humid,560
Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,Sunrisers Hyderabad,Field,Bat,Chennai Super Kings,Maharashtra Cricket Association Stadium,Humid,561
Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Mumbai Indians,Field,Bat,Rajasthan Royals,Wankhede Stadium,Sunny,562
Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,Kings XI Punjab,Field,Bat,Royal Challengers Bangalore,Holkar Cricket Stadium,Sunny,563
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Rajasthan Royals,Field,Bat,Kolkata Knight Riders,Eden Gardens,Sunny,564
Mumbai Indians,Kings XI Punjab,Kings XI Punjab,Mumbai Indians,Field,Bat,Mumbai Indians,Wankhede Stadium,Humid,565
Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,Field,Bat,Royal Challengers Bangalore,M Chinnaswamy Stadium,Dry,566
Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,Delhi Daredevils,Field,Bat,Delhi Daredevils,Feroz Shah Kotla,Sunny,567
Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,Bat,Field,Rajasthan Royals,Sawai Mansingh Stadium,Sunny,568
Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Bat,Field,Kolkata Knight Riders,Rajiv Gandhi International Stadium,Sunny,569
Delhi Daredevils,Mumbai Indians,Delhi Daredevils,Mumbai Indians,Bat,Field,Delhi Daredevils,Feroz Shah Kotla,Humid,570
Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,Kings XI Punjab,Field,Bat,Chennai Super Kings,Maharashtra Cricket Association Stadium,Dry,571
Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,Sunrisers Hyderabad,Field,Bat,Chennai Super Kings,Wankhede Stadium,Sunny,572
Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,Kolkata Knight Riders,Field,Bat,Kolkata Knight Riders,Eden Gardens,Sunny,573
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Sunrisers Hyderabad,Field,Bat,Sunrisers Hyderabad,Eden Gardens,Sunny,574
Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,Sunrisers Hyderabad,Field,Bat,Chennai Super Kings,Wankhede Stadium,Sunny,575
Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,Royal Challengers Bangalore,Field,Bat,Chennai Super Kings,M. A. Chidambaram Stadium,Humid,576
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Sunrisers Hyderabad,Field,Bat,Kolkata Knight Riders,Eden Gardens,Dry,577
Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,Kings XI Punjab,Field,Bat,Kings XI Punjab,Sawai Mansingh Stadium,Sunny,578
Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,Kolkata Knight Riders,Field,Bat,Kolkata Knight Riders,Eden Gardens,Sunny,579
Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Mumbai Indians,Field,Bat,Mumbai Indians,M. Chinnaswamy Stadium,Sunny,580
Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Bat,Field,Sunrisers Hyderabad,Rajiv Gandhi Intl. Cricket Stadium,Sunny,581
Mumbai Indians,Kings XI Punjab,Kings XI Punjab,Mumbai Indians,Field,Bat,Kings XI Punjab,Punjab Cricket Association Stadium Stadium,Sunny,582
Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad,Field,Bat,Sunrisers Hyderabad,Rajiv Gandhi Intl. Cricket Stadium,Dry,583
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Chennai Super Kings,Field,Bat,Chennai Super Kings,M. A. Chidambaram Stadium,Sunny,584
Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,Royal Challengers Bangalore,Field,Bat,Rajasthan Royals,Sawai Mansingh Stadium,Sunny,585
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Mumbai Indians,Field,Bat,Mumbai Indians,Wankhede Stadium,Sunny,586
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,Royal Challengers Bangalore,Field,Bat,Kolkata Knight Riders,M. Chinnaswamy Stadium,Dry,587
Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,Bat,Field,Chennai Super Kings,M. A. Chidambaram Stadium,Sunny,588
Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,Mumbai Indians,Field,Bat,Mumbai Indians,Rajiv Gandhi Intl. Cricket Stadium,Sunny,589
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Rajasthan Royals,Field,Bat,Kolkata Knight Riders,Sawai Mansingh Stadium,Sunny,590
Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,Sunrisers Hyderabad,Field,Bat,Kings XI Punjab,Punjab Cricket Association Stadium Stadium,Sunny,591
Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Kolkata Knight Riders,Field,Bat,Chennai Super Kings,M. A. Chidambaram Stadium,Humid,592
Kings XI Punjab,Mumbai Indians,Mumbai Indians,Kings XI Punjab,Field,Bat,Mumbai Indians,Wankhede Stadium,Dry,593
Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,Rajasthan Royals,Field,Bat,Chennai Super Kings,Sawai Mansingh Stadium,Sunny,594
Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Mumbai Indians,Field,Bat,Rajasthan Royals,Wankhede Stadium,Humid,595
Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,Kings XI Punjab,Field,Bat,Royal Challengers Bangalore,Punjab Cricket Association Stadium Stadium,Dry,596
Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Kolkata Knight Riders,Field,Bat,Chennai Super Kings,Eden Gardens,Sunny,597
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Royal Challengers Bangalore,Field,Bat,Mumbai Indians,Wankhede Stadium,Humid,598
Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,Kings XI Punjab,Field,Bat,Kings XI Punjab,Punjab Cricket Association Stadium Stadium,Dry,599
Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,Bat,Field,Sunrisers Hyderabad,Rajiv Gandhi Intl. Cricket Stadium,Sunny,600
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,Royal Challengers Bangalore,Field,Bat,Royal Challengers Bangalore,Eden Gardens,Dry,601
Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Mumbai Indians,Field,Bat,Rajasthan Royals,Sawai Mansingh Stadium,Sunny,602
Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,Field,Bat,Sunrisers Hyderabad,Rajiv Gandhi Intl. Cricket Stadium,Humid,603
Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,Royal Challengers Bangalore,Field,Bat,Royal Challengers Bangalore,M. Chinnaswamy Stadium,Dry,604
Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,Sunrisers Hyderabad,Field,Bat,Chennai Super Kings,M. A. Chidambaram Stadium,Dry,605
Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,Royal Challengers Bangalore,Field,Bat,Royal Challengers Bangalore,M. Chinnaswamy Stadium,Sunny,606
Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,Kolkata Knight Riders,Field,Bat,Rajasthan Royals,Eden Gardens,Sunny,607
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Mumbai Indians,Field,Bat,Mumbai Indians,M. A. Chidambaram Stadium,Sunny,608
Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Sunrisers Hyderabad,Field,Bat,Rajasthan Royals,Sawai Mansingh Stadium,Sunny,609
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Kolkata Knight Riders,Field,Bat,Kolkata Knight Riders,Eden Gardens,Dry,610
Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,Sunrisers Hyderabad,Field,Bat,Sunrisers Hyderabad,Rajiv Gandhi Intl. Cricket Stadium,Sunny,611
Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Bat,Field,Mumbai Indians,Wankhede Stadium,Sunny,612
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,Kings XI Punjab,Field,Bat,Kolkata Knight Riders,Punjab Cricket Association Stadium Stadium,Humid,613
Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad,Field,Bat,Royal Challengers Bangalore,M. Chinnaswamy Stadium,Sunny,614
Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,Chennai Super Kings,Field,Bat,Kings XI Punjab,Punjab Cricket Association Stadium Stadium,Sunny,615
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Kolkata Knight Riders,Field,Bat,Mumbai Indians,Wankhede Stadium,Humid,616
Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Mumbai Indians,Bat,Field,Mumbai Indians,M. A. Chidambaram Stadium,Dry,617
Mumbai Indians,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Bat,Field,Mumbai Indians,Rajiv Gandhi Intl. Cricket Stadium,Dry,618
